year,reg_name,tax_name,amount
2013,Provence-Alpes-Côte d'Azur,Charges financières,67098706.61
2013,Provence-Alpes-Côte d'Azur,CVAE,258064116
2013,Provence-Alpes-Côte d'Azur,Frais de personnel,230255443.2
2013,Provence-Alpes-Côte d'Azur,Impôts et taxes,914759935.3
2013,Provence-Alpes-Côte d'Azur,Recettes d'investissement,335602662.1
2013,Provence-Alpes-Côte d'Azur,Subventions reçues et participations,52639933.1
2013,Normandie,Autres dotations et subventions,19669105.48
2013,Normandie,Autres recettes d'investissement,29545612.31
2013,Normandie,Dépôts au Trésor,44407174.2
2013,Normandie,Subventions aux personnes de droit privé,64994389.59
2013,Normandie,Ventes de biens et services,539457.95
2013,Corse,Autres dépenses de fonctionnement,11537502.64
2013,Corse,Dépenses totales hors remb,628554495.4
2013,Corse,DRES,0
2013,Corse,Epargne brute,88114462.48
2013,Corse,Subventions d'équipement versées aux communes et aux groupements,33781372.1
2013,Bourgogne-Franche-Comté,Autres dotations de fonctionnement,78179201
2013,Bourgogne-Franche-Comté,Autres dotations et subventions,20876813.37
2013,Bourgogne-Franche-Comté,Dépenses de fonctionnement,480806336.5
2013,Bourgogne-Franche-Comté,Flux net de dette,-35203957.3
2013,Bourgogne-Franche-Comté,Frais de personnel,78491916.94
2013,Bourgogne-Franche-Comté,Produit des cesssions d'immobilisations,40880.83
2013,Bourgogne-Franche-Comté,Recettes d'investissement,52882285.58
2013,Bourgogne-Franche-Comté,Recettes de fonctionnement,605442193.5
2013,Bourgogne-Franche-Comté,Subventions d'équipement versées,103385977.4
2013,Bourgogne-Franche-Comté,Subventions d'équipement versées aux communes et aux groupements,33124936.64
2013,Bourgogne-Franche-Comté,Variation du fonds de roulement,-24487680.26
2013,Bourgogne-Franche-Comté,Dépôts au Trésor,18718282.47
2013,Bourgogne-Franche-Comté,Dotation globale de fonctionnement,119862400
2013,Bourgogne-Franche-Comté,Encours de dette,191634634.5
2013,Bourgogne-Franche-Comté,Impôts et taxes,212785377
2013,Bourgogne-Franche-Comté,Recettes d'investissement hors emprunts,47012317.07
2013,Bourgogne-Franche-Comté,Subventions reçues et participations,10650001.59
2013,Occitanie,CVAE,153017556
2013,Occitanie,FCTVA,16601296.52
2013,Occitanie,Impôts et taxes,515087688.8
2013,Occitanie,Recettes d'investissement hors emprunts,114122518.1
2013,Occitanie,Subventions d'équipement versées aux communes et aux groupements,44527662.18
2013,Nouvelle-Aquitaine,Achats et charges externes,83124644.94
2013,Nouvelle-Aquitaine,Dépenses d'investissement hors remb,520180024.8
2013,Nouvelle-Aquitaine,FCTVA,24678096.95
2013,Nouvelle-Aquitaine,Remboursements d'emprunts hors GAD,64415879.74
2013,Occitanie,Autres dotations de fonctionnement,103136758
2013,Occitanie,Dépenses d'investissement,515408587.8
2013,Occitanie,Dépenses d'investissement hors remb,474605816.8
2013,Occitanie,Frais de personnel,116127683.2
2013,Occitanie,Péréquations et compensations fiscales,67329257
2013,Occitanie,Recettes d'investissement,286414531.4
2013,Occitanie,Subventions d'équipement versées aux communes et aux groupements,35551295.87
2013,Bretagne,Dépenses de fonctionnement,738200596.1
2013,Bretagne,Epargne de gestion,308334900.4
2013,Bretagne,Epargne nette,266539422.2
2013,Bretagne,Frais de personnel,139899283.1
2013,Bretagne,Recettes d'investissement,197963552
2013,Pays de la Loire,Achats et charges externes,127660769.6
2013,Pays de la Loire,Annuité de la dette,133338393.4
2013,Pays de la Loire,Autres recettes de fonctionnement,5236557.07
2013,Pays de la Loire,Charges financières,28610210.64
2013,Pays de la Loire,Contributions aux organismes de transport,120537655.6
2013,Pays de la Loire,Dépenses d'investissement hors remb,580436433.2
2013,Pays de la Loire,Dépenses totales hors remb,1351779892
2013,Pays de la Loire,Dépôts au Trésor,27732298.8
2013,Pays de la Loire,Emprunts hors GAD,246612659.8
2013,Pays de la Loire,Epargne de gestion,333082344.4
2013,Pays de la Loire,Flux net de dette,141884477
2013,Pays de la Loire,Impôts locaux,253231363
2013,Pays de la Loire,Recettes d'investissement,379640780.7
2013,Centre-Val de Loire,Autres dotations et subventions,36234151.23
2013,Centre-Val de Loire,Autres recettes de fonctionnement,4112841.13
2013,Centre-Val de Loire,Cartes grises,80597387.5
2013,Centre-Val de Loire,Concours de l'Etat,389960003.6
2013,Centre-Val de Loire,Dépenses d'investissement,344627636.8
2013,Centre-Val de Loire,Dépenses totales hors remb,954799330.6
2013,Centre-Val de Loire,Epargne brute,234294401.2
2013,Centre-Val de Loire,Frais de personnel,110292280.2
2013,Centre-Val de Loire,Recettes d'investissement hors emprunts,80080447.6
2013,Centre-Val de Loire,Recettes de fonctionnement,896226133.3
2013,Centre-Val de Loire,Recettes totales hors emprunts,976306580.9
2013,Centre-Val de Loire,Variation du fonds de roulement,-10252787.99
2013,Grand Est,Dépenses d'investissement,222838189.3
2013,Grand Est,Encours de dette,412522361.1
2013,Grand Est,Flux net de dette,-25011263.03
2013,Grand Est,Frais de personnel,64481903.81
2013,Grand Est,Péréquations et compensations fiscales,20301502
2013,Grand Est,Subventions reçues et participations,11679164.21
2013,Grand Est,Variation du fonds de roulement,-23226667.25
2013,Grand Est,Autres recettes d'investissement,22739407.85
2013,Grand Est,Dépenses de fonctionnement,681996930
2013,Grand Est,Péréquations et compensations fiscales,30100069
2013,Grand Est,Subventions d'équipement versées,202744408.7
2013,Hauts-de-France,Charges financières,50421277.97
2013,Hauts-de-France,Contributions aux organismes de transport,235010096.5
2013,Hauts-de-France,Impôts locaux,331183157
2013,Hauts-de-France,Subventions aux personnes de droit privé,158923185.9
2013,Hauts-de-France,Subventions d'équipement versées,326001079.8
2013,Auvergne-Rhône-Alpes,Autres recettes de fonctionnement,3873858.35
2013,Auvergne-Rhône-Alpes,Cartes grises,41862782.5
2013,Auvergne-Rhône-Alpes,Contributions aux organismes de transport,104199439.7
2013,Auvergne-Rhône-Alpes,CVAE,61620029
2013,Auvergne-Rhône-Alpes,DRES,11100040
2013,Auvergne-Rhône-Alpes,Flux net de dette,15292113.25
2013,Auvergne-Rhône-Alpes,Péréquations et compensations fiscales,34715907
2013,Auvergne-Rhône-Alpes,Variation du fonds de roulement,1873172.58
2013,Grand Est,Concours de l'Etat,285226754
2013,Grand Est,Dépenses de fonctionnement,506483243.4
2013,Grand Est,Dépenses totales,753404337.3
2013,Grand Est,Flux net de dette,-3910710.39
2013,Grand Est,Impôts locaux,151846804
2013,Grand Est,Recettes d'investissement hors emprunts,43298961.03
2013,Grand Est,Ventes de biens et services,691246.19
2013,Auvergne-Rhône-Alpes,Achats et charges externes,149045266.7
2013,Auvergne-Rhône-Alpes,Dotation globale de fonctionnement,581503379
2013,Auvergne-Rhône-Alpes,Emprunts hors GAD,217303571.4
2013,Auvergne-Rhône-Alpes,Subventions d'équipement versées aux communes et aux groupements,82628923.75
2013,Île-de-France,Annuité de la dette,758629367.5
2013,Île-de-France,Autres dépenses d'investissement,33028954.41
2013,Île-de-France,Dépenses totales hors remb,4369532541
2013,Île-de-France,FCTVA,93824701
2013,Île-de-France,Flux net de dette,398980724.9
2013,Île-de-France,Produit des cesssions d'immobilisations,1047411.92
2013,Île-de-France,Recettes de fonctionnement,3525528050
2013,Île-de-France,Recettes totales hors emprunts,4060251936
2013,Normandie,Autres dotations et subventions,23247518.4
2013,Normandie,Cartes grises,58472558.75
2013,Normandie,Charges financières,8033153.34
2013,Normandie,Dépenses d'investissement,267668004.5
2013,Normandie,Dépenses totales,752005822.9
2013,Normandie,Epargne brute,211208716.4
2013,Normandie,Epargne de gestion,219317776.3
2013,Normandie,Remboursements d'emprunts hors GAD,17541526.24
2013,Normandie,Subventions d'équipement versées aux communes et aux groupements,48700253.11
2013,Hauts-de-France,Autres dotations de fonctionnement,94575921
2013,Hauts-de-France,Autres recettes d'investissement,21058213.66
2013,Hauts-de-France,Capacité ou besoin de financement,-40262977.56
2013,Hauts-de-France,Charges financières,14776783.34
2013,Hauts-de-France,Contributions aux organismes de transport,171108920.8
2013,Hauts-de-France,Flux net de dette,-40517225.64
2013,Hauts-de-France,Impôts et taxes,361915708.7
2013,Hauts-de-France,Subventions aux personnes de droit privé,80122584.54
2013,Nouvelle-Aquitaine,Autres dépenses d'investissement,19918777.92
2013,Nouvelle-Aquitaine,Charges financières,13017905.43
2013,Nouvelle-Aquitaine,Contributions aux organismes de transport,33899259.2
2013,Nouvelle-Aquitaine,Impôts et taxes,284421121
2013,Nouvelle-Aquitaine,Péréquations et compensations fiscales,20472510
2013,Nouvelle-Aquitaine,Recettes d'investissement,74002535.48
2013,Nouvelle-Aquitaine,TICPE,83956517
2013,Nouvelle-Aquitaine,Ventes de biens et services,63970.75
2013,Nouvelle-Aquitaine,Autres impôts et taxes,112435259
2013,Nouvelle-Aquitaine,Charges financières,10045224.59
2013,Nouvelle-Aquitaine,Dépenses d'équipement,21609904.26
2013,Nouvelle-Aquitaine,Dépenses totales hors remb,383914252.1
2013,Nouvelle-Aquitaine,Dépôts au Trésor,36678531.04
2013,Nouvelle-Aquitaine,DRES,6756710
2013,Nouvelle-Aquitaine,Emprunts hors GAD,11000000
2013,Nouvelle-Aquitaine,Encours de dette,246042612.2
2013,Nouvelle-Aquitaine,Péréquations et compensations fiscales,20619876
2013,Nouvelle-Aquitaine,Recettes d'investissement,34645132.85
2013,Nouvelle-Aquitaine,TICPE,80328250
2013,Guadeloupe,Autres dotations et subventions,50657688.29
2013,Guadeloupe,Charges financières,5727218.21
2013,Guadeloupe,Epargne brute,55193302.51
2013,Guadeloupe,Epargne de gestion,64884437.1
2013,Martinique,Dépenses d'équipement,93770022.59
2013,Martinique,Dépenses d'investissement hors remb,191390863.1
2013,Martinique,Dépenses de fonctionnement,213612529.6
2013,Martinique,Dépôts au Trésor,41061304
2013,Martinique,Encours de dette,166655910.5
2013,Martinique,Recettes totales,395514186.1
